Key,File,Type,UsedInMainMenu,NoTranslate,english,Spanish
fourSkillPoint_P0,item,book,,,"+4 Skill Points","+4 Puntos de Habilidad"
lvlUpChallengeBoxP1_450,item,lvlkit,,,♦ Max LVL Box ♦,♦ Caja de LVL Maximo ♦
lvlUpChallengeBoxP2_50,item,lvlkit,,,[Lvl 50] ★ Reward Box ★,[Lvl 50] Caja de recompensa ★
lvlUpChallengeBoxP2_100,item,lvlkit,,,[Lvl 100] ★ Reward Box ★,[Lvl 100] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_150,item,lvlkit,,,[Lvl 150] ★ Reward Box ★,[Lvl 150] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_200,item,lvlkit,,,[Lvl 200] ★ Reward Box ★,[Lvl 200] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_250,item,lvlkit,,,[Lvl 250] ★ Reward Box ★,[Lvl 250] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_300,item,lvlkit,,,[Lvl 300] ★ Reward Box ★,[Lvl 300] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_350,item,lvlkit,,,[Lvl 350] ★ Reward Box ★,[Lvl 350] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_400,item,lvlkit,,,[Lvl 400] ★ Reward Box ★,[Lvl 400] ★ Caja de recompensa ★
lvlUpChallengeBoxP2_450,item,lvlkit,,,★ Max LVL Box ★,★ Caja de recompensa ★
lvlUpChallengeBoxDesc,item,lvlkit,,,A special pack with a reward for leveling up. The contents vary depending on the level of the box.,Un paquete especial con una recompensa por subir de nivel. El contenido varía según el nivel de la caja.

challengeTitlePrestige0,challenge,tittle,,,[F0EA4C]• Prestige 1 - Profesional •[-],[F0EA4C]• Prestigio 1 - Profesional •[-]
challengeTitlePrestige1,challenge,tittle,,,[EA4224]♦ Prestige 2 - Master ♦[-],[EA4224]♦ Prestigio 2 - Maestro ♦[-]
challengeTitlePrestige2,challenge,tittle,,,[00B0F6]★ Prestige 3 - Legend ★[-],[00B0F6]★ Prestigio 3 - Legendario ★[-]
challengeRewardPrestige0,challenge,tittle,,,[F0EA4C]• Max level Box •,[F0EA4C]• Caja de nivel Maximo •
challengeRewardPrestige1,challenge,tittle,,,[EA4224]♦ Max level Box ♦,[EA4224]♦ Caja de nivel Maximo ♦
challengeRewardPrestige2,challenge,tittle,,,[00B0F6]★ Max level Box ★,[00B0F6]★ Caja de nivel Maximo ★

challengePrestige0.LVL50,challenge,title,,,Level 100 Reward!,¡Recompensa Nivel 100!
challengePrestige0.LVL100,challenge,title,,,Level 200 Reward!,¡Recompensa Nivel 200!
challengePrestige0.LVL150,challenge,title,,,Level 300 Reward!,¡Recompensa Nivel 300!
challengePrestige0.LVL200,challenge,title,,,Level 400 Reward!,¡Recompensa Nivel 400!
challengePrestige0.LVL250,challenge,title,,,Level 500 Reward!,¡Recompensa Nivel 500!
challengePrestige0.LVL300,challenge,title,,,Level 600 Reward!,¡Recompensa Nivel 600!
challengePrestige0.LVL350,challenge,title,,,Level 700 Reward!,¡Recompensa Nivel 700!
challengePrestige0.LVL400,challenge,title,,,Level 800 Reward!,¡Recompensa Nivel 800!
challengePrestige0.LVL450,challenge,title,,,Level 900 Reward!,¡Recompensa Nivel 900!
challengePrestige0.C,challenge,title,,,Level 1000 Reward!,¡Recompensa Nivel 1000!

challengePrestige1.LVL50,challenge,title,,,Level 1100 Reward!,¡Recompensa Nivel 1100!
challengePrestige1.LVL100,challenge,title,,,Level 1200 Reward!,¡Recompensa Nivel 1200!
challengePrestige1.LVL150,challenge,title,,,Level 130 Reward!,¡Recompensa Nivel 1300!
challengePrestige1.LVL200,challenge,title,,,Level 1400 Reward!,¡Recompensa Nivel 1400!
challengePrestige1.LVL250,challenge,title,,,Level 1500 Reward!,¡Recompensa Nivel 1500!
challengePrestige1.LVL300,challenge,title,,,Level 1600 Reward!,¡Recompensa Nivel 1600!
challengePrestige1.LVL350,challenge,title,,,Level 1700 Reward!,¡Recompensa Nivel 1700!
challengePrestige1.LVL400,challenge,title,,,Level 1800 Reward!,¡Recompensa Nivel 1800!
challengePrestige1.LVL450,challenge,title,,,Level 1900 Reward!,¡Recompensa Nivel 1900!
challengePrestige1.C,challenge,title,,,Level 2000 Reward!,¡Recompensa Nivel 2000!

challengePrestige2.LVL50,challenge,title,,,Level 2100 Reward!,¡Recompensa Nivel 2100!
challengePrestige2.LVL100,challenge,title,,,Level 2200 Reward!,¡Recompensa Nivel 2200!
challengePrestige2.LVL150,challenge,title,,,Level 2300 Reward!,¡Recompensa Nivel 2300!
challengePrestige2.LVL200,challenge,title,,,Level 2400 Reward!,¡Recompensa Nivel 2400!
challengePrestige2.LVL250,challenge,title,,,Level 2500 Reward!,¡Recompensa Nivel 2500!
challengePrestige2.LVL300,challenge,title,,,Level 2600 Reward!,¡Recompensa Nivel 2600!
challengePrestige2.LVL350,challenge,title,,,Level 2700 Reward!,¡Recompensa Nivel 2700!
challengePrestige2.LVL400,challenge,title,,,Level 2800 Reward!,¡Recompensa Nivel 2800!
challengePrestige2.LVL450,challenge,title,,,Level 2900 Reward!,¡Recompensa Nivel 2900!
challengePrestige2.C,challenge,title,,,Level 3000 Reward!,¡Recompensa Nivel 3000!

challenge_Prestige0_short_50,challenge,short,,,Achive LVL 100,Sube a lvl 100
challenge_Prestige0_short_100,challenge,short,,,Achive LVL 200,Sube a lvl 200
challenge_Prestige0_short_150,challenge,short,,,Achive LVL 300,Sube a lvl 300
challenge_Prestige0_short_200,challenge,short,,,Achive LVL 400,Sube a lvl 400
challenge_Prestige0_short_250,challenge,short,,,Achive LVL 500,Sube a lvl 500
challenge_Prestige0_short_300,challenge,short,,,Achive LVL 600,Sube a lvl 600
challenge_Prestige0_short_350,challenge,short,,,Achive LVL 700,Sube a lvl 700
challenge_Prestige0_short_400,challenge,short,,,Achive LVL 800,Sube a lvl 800
challenge_Prestige0_short_450,challenge,short,,,Achive LVL 900,Sube a lvl 900
challenge_Prestige0_short_C,challenge,short,,,Achive LVL 1000,Sube a lvl 1000

challenge_Prestige1_short_50,challenge,short,,,Achive LVL 1100,Sube a lvl 1100
challenge_Prestige1_short_100,challenge,short,,,Achive LVL 1200,Sube a lvl 1200
challenge_Prestige1_short_150,challenge,short,,,Achive LVL 1300,Sube a lvl 1300
challenge_Prestige1_short_200,challenge,short,,,Achive LVL 1400,Sube a lvl 1400
challenge_Prestige1_short_250,challenge,short,,,Achive LVL 1500,Sube a lvl 1500
challenge_Prestige1_short_300,challenge,short,,,Achive LVL 1600,Sube a lvl 1600
challenge_Prestige1_short_350,challenge,short,,,Achive LVL 1700,Sube a lvl 1700
challenge_Prestige1_short_400,challenge,short,,,Achive LVL 1800,Sube a lvl 1800
challenge_Prestige1_short_450,challenge,short,,,Achive LVL 1900,Sube a lvl 1900
challenge_Prestige1_short_C,challenge,short,,,Achive LVL 2000,Sube a lvl 2000

challenge_Prestige2_short_50,challenge,short,,,Achive LVL 2100,Sube a lvl 2100
challenge_Prestige2_short_100,challenge,short,,,Achive LVL 2200,Sube a lvl 2200
challenge_Prestige2_short_150,challenge,short,,,Achive LVL 2300,Sube a lvl 2300
challenge_Prestige2_short_200,challenge,short,,,Achive LVL 2400,Sube a lvl 2400
challenge_Prestige2_short_250,challenge,short,,,Achive LVL 2500,Sube a lvl 2500
challenge_Prestige2_short_300,challenge,short,,,Achive LVL 2600,Sube a lvl 2600
challenge_Prestige2_short_350,challenge,short,,,Achive LVL 2700,Sube a lvl 2700
challenge_Prestige2_short_400,challenge,short,,,Achive LVL 2800,Sube a lvl 2800
challenge_Prestige2_short_450,challenge,short,,,Achive LVL 900,Sube a lvl 2900
challenge_Prestige2_short_C,challenge,short,,,Achive LVL 3000,Sube a lvl 3000

challenge_Prestige0_desc_50,challenge,desc,,,Congratulation on achiving LVL 100\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 100\nCanjea este desafio para obtener una mision especial
challenge_Prestige0_desc_100,challenge,desc,,,Congratulation on achiving LVL 200\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 200\nCanjea este desafio para obtener una mision especial
challenge_Prestige0_desc_150,challenge,desc,,,Congratulation on achiving LVL 300\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 300\nCanjea este desafio para obtener una mision especial
challenge_Prestige0_desc_200,challenge,desc,,,Congratulation on achiving LVL 400\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 400\nCanjea este desafio para obtener una mision especial
challenge_Prestige0_desc_250,challenge,desc,,,Congratulation on achiving LVL 500\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 500\nCanjea este desafio para obtener una mision especial
challenge_Prestige0_desc_300,challenge,desc,,,Congratulation on achiving LVL 600\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 600\nCanjea este desafio para obtener una mision especial
challenge_Prestige0_desc_350,challenge,desc,,,Congratulation on achiving LVL 700\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 700\nCanjea este desafío para obtener una mision especial
challenge_Prestige0_desc_400,challenge,desc,,,Congratulation on achiving LVL 800\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 800\nCanjea este desafío para obtener una mision especial
challenge_Prestige0_desc_450,challenge,desc,,,Congratulation on achiving LVL 900\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 900\nCanjea este desafío para obtener una mision especial
challenge_Prestige0_desc_C,challenge,desc,,,"Congratulation on achiving LVL 1000!\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1000!\nCanjea este desafío para obtener una mision especial

challenge_Prestige1_desc_50,challenge,desc,,,Congratulation on achiving LVL 1100\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1100\nCanjea este desafio para obtener una mision especial
challenge_Prestige1_desc_100,challenge,desc,,,Congratulation on achiving LVL 1200\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1200\nCanjea este desafio para obtener una mision especial
challenge_Prestige1_desc_150,challenge,desc,,,Congratulation on achiving LVL 1300\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1300\nCanjea este desafio para obtener una mision especial
challenge_Prestige1_desc_200,challenge,desc,,,Congratulation on achiving LVL 1400\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1400\nCanjea este desafio para obtener una mision especial
challenge_Prestige1_desc_250,challenge,desc,,,Congratulation on achiving LVL 1500\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1500\nCanjea este desafio para obtener una mision especial
challenge_Prestige1_desc_300,challenge,desc,,,Congratulation on achiving LVL 1600\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1600\nCanjea este desafio para obtener una mision especial
challenge_Prestige1_desc_350,challenge,desc,,,Congratulation on achiving LVL 1700\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1700\nCanjea este desafío para obtener una mision especial
challenge_Prestige1_desc_400,challenge,desc,,,Congratulation on achiving LVL 1800\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1800\nCanjea este desafío para obtener una mision especial
challenge_Prestige1_desc_450,challenge,desc,,,Congratulation on achiving LVL 1900\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1900\nCanjea este desafío para obtener una mision especial
challenge_Prestige1_desc_C,challenge,desc,,,"Congratulation on achiving LVL 2000!\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 2000!\nCanjea este desafío para obtener una mision especial

challenge_Prestige2_desc_50,challenge,desc,,,Congratulation on achiving LVL 2100\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1100\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_100,challenge,desc,,,Congratulation on achiving LVL 2200\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1200\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_150,challenge,desc,,,Congratulation on achiving LVL 2300\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1300\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_200,challenge,desc,,,Congratulation on achiving LVL 2400\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1400\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_250,challenge,desc,,,Congratulation on achiving LVL 2500\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1500\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_300,challenge,desc,,,Congratulation on achiving LVL 2600\nRedem this challenge to get an special quest,Felicidades por alcanzar el NIVEL 1600\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_350,challenge,desc,,,Congratulation on achiving LVL 2700\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1700\nCanjea este desafío para obtener una mision especial
challenge_Prestige2_desc_400,challenge,desc,,,Congratulation on achiving LVL 2800\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1800\nCanjea este desafío para obtener una mision especial
challenge_Prestige2_desc_450,challenge,desc,,,Congratulation on achiving LVL 2900\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 1900\nCanjea este desafío para obtener una mision especial
challenge_Prestige2_desc_C,challenge,desc,,,Congratulation on achiving LVL 3000!\nRedem this challenge to get an special quest,¡Felicidades por alcanzar el NIVEL 2000!\nCanjea este desafío para obtener una mision especial


challenge_Prestige2_desc_50,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 50\nRedem this challenge to get an special quest,Felicidades por alcanzar el Prestigio 2 NIVEL 50\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_100,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 100\nRedem this challenge to get an special quest,Felicidades por alcanzar el Prestigio 2 NIVEL 100\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_150,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 150\nRedem this challenge to get an special quest,Felicidades por alcanzar el Prestigio 2 NIVEL 150\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_200,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 200\nRedem this challenge to get an special quest,Felicidades por alcanzar el Prestigio 2 NIVEL 200\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_250,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 250\nRedem this challenge to get an special quest,Felicidades por alcanzar el Prestigio 2 NIVEL 250\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_300,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 300\nRedem this challenge to get an special quest,Felicidades por alcanzar el Prestigio 2 NIVEL 300\nCanjea este desafio para obtener una mision especial
challenge_Prestige2_desc_350,challenge,desc,,,Congratulation on achiving Prestige 2 LVL 350\nRedem this challenge to get an special quest\n\n[D13A3A]On this reward you will get a prestige medal be sure to know what it does before you use it[-],"¡Felicidades por alcanzar el Prestigio 2 NIVEL 350!\nCanjea este desafío para obtener una mision especiala\n\n[D13A3A]En esta recompensa recibirás una medalla de prestigio, asegúrate de saber para qué sirve antes de usarla[-]"
challenge_Prestige2_desc_400,challenge,short,,,"Congratulation on achiving Prestige 2 LVL 400\nRedem this challenge to get an special quest\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el Prestigio 2 NIVEL 400!\nCanjea este desafío para obtener una mision especiala\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige2_desc_450,challenge,desc,,,"Congratulation on achiving Prestige 2 MAX LEVEL!!\nRedem this challenge to get an special quest\n\n[D13A3A]WARNING: Thic challenge can't be completed if you prestige before reaching this level[-]","¡Felicidades por alcanzar el Prestigio 2 NIVEL MÁXIMO!\nCanjea este desafío para obtener una mision especiala\n\n[D13A3A]ADVERTENCIA: Este desafío no se puede completar si haces prestigio antes de alcanzar este nivel[-]"
challenge_Prestige2_short_C,challenge,desc,,,




Mineral_Bag,items,item,,,Mineral Box,Caja con minerales,Caja con minerales
survivorRations,items,item,,,Survivor Rations,Raciones de Sobreviviente,Raciones de Sobreviviente

buffQuestBeReady,buff,Quest - Challenge,,,Ticket Event,Evento de Ticket,Evento de Ticket
buffQuestBeReadyDesc,buff,Quest - Challenge,,,"You used an event ticket, get ready!","Utilizaste un ticket de evento, preparate!","Utilizaste un ticket de evento, preparate!"
buffQuestBeReadyTool,buff,Quest - Challenge,,,THEY'RE COMING!,YA VIENEN!,YA VIENEN!
questNoteTooltip,items,Quest - Challenge,,,"Event started, get ready","Evento iniciado, preparate","Evento iniciado, preparate"
tier2QuestDesc,items,Quest - Challenge,,,"Una nota con información de una horda de zombies, utilizala para ganar un ticket especial."
tier3QuestDesc,items,Quest - Challenge,,,"Una nota con información de un boss y su horda de zombies, utilizala para ganar un ticket especial."

EnemigosHF,items,Quest - Challenge,,,Los Enemigos de Z0B
EnemigosHF2,items,Quest - Challenge,,,Quest - Los Enemigos de Z0B
q_EnemigosHF,items,Quest - Challenge,,,[C20707]The enemies of the HF[-],[C20707]Los Enemigos de Z0B[-],[C20707]Los Enemigos de Z0B[-]
q_EnemigosHFPromp,items,Quest - Challenge,,,"Some formidable enemies have joined forces to fight against human hope, defeat them before they become a greater threat."Unos formidables enemigos se han aliado para pelear contra la esperanza humana, derrotalos antes de que se conviertan en una amenaza mayor.","Unos formidables enemigos se han aliado para pelear contra la esperanza humana, derrotalos antes de que se conviertan en una amenaza mayor."

q_Hooligan_Force,items,Quest - Challenge,,,"[080008]Zona Cero"
HFQuest,items,Quest - Challenge,,,"Un ticket que te llevar a enfrentar a los enemigos más fuertes que se encuentran en Zona Cero"
HFQuest1,items,Quest - Challenge,,,"Estas listo para hacerle frente a esta misión solo los más fuertes logran completar este trabajo.\n\nBuena suerte amigo"
KillBosses,items,Quest - Challenge,,,"Dirígete al punto para comenzar la masacre."
comleteHF,items,Quest - Challenge,,,"Has demostrado ser un verdadero mata caza zombies al completar esta misión\nAdelante elige tus recompensas.\n\n\n\n\n\n 	                                                           Puto el que lo lea"

q_HFRush,items,Quest - Challenge,,,"[080008]Zona Cero Boss"
HFBRQuest,items,Quest - Challenge,,,"Una nota que te llevar a enfrentar a todos los Jefes que se encuentran en Zona Cero."
HFBRQuest1,items,Quest - Challenge,,,"Estas listo para hacerle frente a todos los Jefes juntos en una sola mision.\n\nBuena suerte amigo"

HFKillBosses,items,Quest - Challenge,,,"Good Game"
subKeyHF,items,Quest - Challenge,,,Challenge completed\n\nGo to a trader to claim your reward,Reto completado gg wp\n\nDirigete a un trader para reclamar tu recompensa,Reto completado gg wp\n\nDirigete a un trader para reclamar tu recompensa
comleteHF,items,Quest - Challenge,,,"Has demostrado ser un verdadero asesino de zombies al completar esta misión\nAdelante elige tus recompensas.\n\n\n\n\n\n	                                                           Puto el que lo lea"

TAVOQUESTDesc,items,Quest - Challenge,,,"A note cover in blood found in the black market, maybe is for the best if you ignore it...","Una nota manchada de sangre encontrada en el mercado negro, tal vez sea mejor ignorarla...","Una nota manchada de sangre encontrada en el mercado negro, tal vez sea mejor ignorarla..."
T4voQuestLongDesc,quests,Quest - Challenge,,,"Una horda muy devastadora dejo en muy mal estado mi Mercado Negro, ayudame a tomar venganza buscando a la horda y acabando con ella, seras muy bien recompensado. Te recomiendo que no vayas solo. Evita SALIR de la zona una vez que la mision sea iniciada. (50mtrs)

			-T4VO"

q_Gallinazilla,items,Quest - Challenge,,,"[EFB810]Mystery egg","[EFB810]Huevo misterioso","[EFB810]Huevo misterioso"
Questzilla,quests,Quest - Challenge,,," ¿? "
Questzilla2,quests,Quest - Challenge,,,"                                         	 	  ¿?              "
Killzilla,items,Quest - Challenge,,,"Pero que huevo más extraño"
comleteZilla,quests,Quest - Challenge,,,"Gracias por acabar con gallinazilla toma estas recompensas\n\n\n\n\n\n\n                                                         Puto el que lo lea"

q_Honor,items,Quest - Challenge,,,"[024E13]Honor to the fallen","[024E13]Honor a los caídos","[024E13]Honor a los caídos"
SoldierQuest1,items,Quest - Challenge,,,"Un antiguo pelotón de guerra ha regresado de la muerte por culpa de este apocalipsis, muestra tu respeto y termina con ellos para darles paz nuevamente."
SoldierQuest,items,Quest - Challenge,,,"Una extraña nota que contiene información de un viejo pelotón de soldados que aún sigue luchando."
comleteSoldier,items,Quest - Challenge,,,"Gracias por darle paz a esos soldados por favor toma esto como agradecimiento."

q_Jugger,items,Quest - Challenge,,,"[784212]The Juggernaut","[784212]El Juggernaut","[784212]El Juggernaut"
JugQuest1,items,Quest - Challenge,,,"Algunos rumores dicen que hay un Juggernaut rondando por los alrededores\nDirígete al punto para investigar qué es lo que está pasando."
JugQuest,items,Quest - Challenge,,,"Esta misión para aquellos valientes que creen estar listos para enfrentarse al poderoso Juggernaut\n\nEsta misión no es para los débiles"
comleteJugger,items,Quest - Challenge,,,"Felicidades has logrado matar al Juggernaut toma estas recompensas."

q_Gladiator,items,Quest - Challenge,,,"[029567]Enemigos de Mexico"
MxQuest2,items,Quest - Challenge,,,"Hola extraño si estas leyendo esto te dire que hemos dejado la nota para que puedas pelear contra distintos enemigos y ver si puedes superar esta prueba."
MxQuest,items,Quest - Challenge,,,"Una nota para enfrentarte a distintos enemigos de Un Mexicano Tercermundista."
comleteMx,items,Quest - Challenge,,,"Buen trabajo eliminando a esos molestos zombies. \nAdelante elige tu recompensa."

q_Momia,items,Quest - Challenge,,,"[EFB810]Kill the ... Mummy !?","[EFB810]Elimina a la... ¿¡Momia!?","[EFB810]Elimina a la... ¿¡Momia!?"
MummyQuest1,items,Quest - Challenge,,,"Una momia ha despertado de su letargo junto a un ejército de zombies, es tu trabajo regresar a la bastarda al sarcófago de donde a salió.\Dirígete al punto para eliminar a la momia y los zombies"
MummyQuest,items,Quest - Challenge,,,"Una nota extraña la cual contiene rastros de un extraño ritual egipcio."
comleteMummy,items,Quest - Challenge,,,"Buen trabajo eliminando a la Momia. \nElige tu recompensa."

q_Cirujano,items,Quest - Challenge,,,"[7FDAD7]No Mercy","[7FDAD7]No Mercy","[7FDAD7]No Mercy"
CiruQuest,items,Quest - Challenge,,,"Esta misión para aquellos que busquen terminar de tramitar su doctorado :D"
CiruQuest1,items,Quest - Challenge,,,"Esta nota te servira para poder tener tu doctorado, solo te hace falta terminar una ultima practica profesional.\n\nDirígete al punto para para tu ultimo tramite."
comleteCirujano,items,Quest - Challenge,,,"Felicidades has consegido tu doctorado, adelante ve a recojer tu titulo."

q_Pesadilla,items,Quest - Challenge,,,"[0B0139]Nightmare Monster","[0B0139]Monstruo de pesadilla","[0B0139]Monstruo de pesadilla"
SirenQuest,items,Quest - Challenge,,,"Una extraña nota cuyo contenido es simplemente aterrador."
SirenQuest1,items,Quest - Challenge,,,"Escuchas extraños ruidos y sonidos que te atormentan constantemente.\nLa voces no dejan de llamarte y son tan insoportables\nParece una horrible pesadilla.\nAqui viene..."
comleteSiren,items,Quest - Challenge,,,"¡No puedo creer siguas con vida!, eso es impresionante adelante toma estas recompensas.!"

q_VZ,items,Quest - Challenge,,,"[E2F70F]Nature's Revenge","[E2F70F]Venganza de la Naturaleza","[E2F70F]Venganza de la Naturaleza"
VZQuest,items,Quest - Challenge,,,"Una nota para con información sobre un ataque de la naturaleza."
VZQuest1,items,Quest - Challenge,,,"La naturaleza se ha cansado de que la explotemos sin tomar conciencia y ha decidido vengarse, lamentablemente tendrás que pelear contra ella y detener su venganza."
KillAnimals,items,Quest - Challenge,,,"Dirígete al punto para comenzar con la misión."
comleteVZ,items,Quest - Challenge,,,"Como siempre el ser humano ha demostrado que no le importa terminar con la naturaleza siempre que obtenga un beneficio a cambio.\nEspero y estés orgulloso de esto."

q_Minis,items,Quest - Challenge,,,"[E02AF9]Little Threat","[E02AF9]Pequeña Amenaza","[E02AF9]Pequeña Amenaza"
MinisQuest,items,Quest - Challenge,,,"Una nota que contiene una gran tarea para realizar."
MinisQuest2,items,Quest - Challenge,,,"Según los rumores una gran amenaza esta merodeando por la zona y es tu trabajo terminar con ella."
comleteMini,items,Quest - Challenge,,,"¡Es impresionante que no murieras de ternura, adelante toma estas pequeñas recompenzas :D.!"

q_Special,items,Quest - Challenge,,,"[00E4FF]The specialty of the house","[00E4FF]La especialidad de la casa","[00E4FF]La especialidad de la casa"
SpecialQuest,items,Quest - Challenge,,,"Una nota que contiene informacion sobre zombies especiales que han escapado."
SpecialQuest2,items,Quest - Challenge,,,"Zombies especiales han escapado del laboratorio, es tu trabajo terminar con ellos antes de que causen mas desastres"
comleteSpecial,items,Quest - Challenge,,,"Gracias encargarte de esos zombies especiales, toma esto como agradecimiento."

q_Nightmare,items,Quest - Challenge,,,"[400261]Creatures of darkness","[400261]Criaturas de la oscuridad","[400261]Criaturas de la oscuridad"
CriaturasQuest1,items,Quest - Challenge,,,"Una nota con la ubicación marcada en donde se encuentran creaturas extrañas.\nTermina con ellos antes de que sea demasiado tarde."
KillCriaturas,items,Quest - Challenge,,,"Elimina a las extrañas criaturas."
comleteCriaturas,items,Quest - Challenge,,,"Buen trabajo eliminando a esos zombies. \nElige tu recompensa."

q_Mutants,items,Quest - Challenge,,,"[57FE18]Elitist","[57FE18]Elitista","[57FE18]Elitista"
ElitesQuest,items,Quest - Challenge,,,"Una nota con información de una horda de zombies elites."
ElitesQuest1,items,Quest - Challenge,,,"Una nota con la ubicación marcada en donde se encuentra la horda de zombies elites.\nTermina con ellos antes de que sea demasiado tarde."
comleteElites,items,Quest - Challenge,,,"Buen trabajo eliminando a esos zombies. \nElige tu recompensa."

q_Morte,items,Quest - Challenge,,,"[0099ff]Drowning Death","[0099ff]Muerte Ahogada","[0099ff]Muerte Ahogada"
q_MortePromp,items,Quest - Challenge,,,"A strange note with instructions for people who do not comply, says that they are punished with 'Cement Shoes.'\nWhat would he mean?","Una extraña nota con indicaciones hacia personas que no cumplen, dice que se les castiga con 'Zapatos de Cemento'.\n¿A que se referira?","Una extraña nota con indicaciones hacia personas que no cumplen, dice que se les castiga con 'Zapatos de Cemento'.\n¿A que se referira?"
q_Infernal,items,Quest - Challenge,,,"[FF0000]Hell's Servants","[FF0000]Siervos del infierno","[FF0000]Siervos del infierno"
q_InfernalPromp,items,Quest - Challenge,,,"A strange note that quotes 'Floating flames in the distance are approaching the curious scavengers with great speed.'","Una extraña nota que cita 'Unas llamas flotantes a lo lejos se acercan con gran velocidad a los curiosos carroñeros.'","Una extraña nota que cita 'Unas llamas flotantes a lo lejos se acercan con gran velocidad a los curiosos carroñeros.'"
q_Frozen,items,Quest - Challenge,,,"[213ab3]An icy welcome","[213ab3]Una helada bienvenida","[213ab3]Una helada bienvenida"
q_FrozenPromp,items,Quest - Challenge,,,"A large avalanche buried a small village and its people, now infected with the virus, have become wanderers.","Una gran avalancha sepulto una pequeña villa y su gente, ahora infectados con el virus, se han convertido en deambulantes.","Una gran avalancha sepulto una pequeña villa y su gente, ahora infectados con el virus, se han convertido en deambulantes."
q_shock,items,Quest - Challenge,,,"[6b08c6]Shock therapy","[6b08c6]Terapia de shock","[6b08c6]Terapia de shock"
q_shockPromp,items,Quest - Challenge,,,Some experiments subjects have escaped and are seeking blood with great speed and electrifying force.,Unos sujetos de experimentacion han escapado y buscan sangre con gran rapidez y una fuerza electrificante.

q_SB,items,Quest - Challenge,,,"[7C00FF]The Salty Spitoon","[7C00FF]La escupidera de Salty","[7C00FF]La escupidera de Salty"
q_SBPromp,items,Quest - Challenge,,,Little ones are not allowed,No se admiten los pequeñines,No se admiten los pequeñines


q_raijin,items,Quest - Challenge,,,"[6b08c6]An old myth","[6b08c6]Un viejo mito","[6b08c6]Un viejo mito"
